Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
95,0,1.03347,-1.17823,1.02972,-1.18167,0,0,0,
96,0,1.03347,-1.17773,1.0303,-1.18111,0,0,0,
97,0,1.03339,-1.1776,1.03077,-1.18058,0,0,0,
98,0,1.03338,-1.17732,1.03117,-1.18011,0,0,0,
99,0,1.03355,-1.1772,1.03152,-1.17967,0,0,0,
100,0,1.03335,-1.17717,1.03182,-1.17929,0,0,0,
101,0,1.03318,-1.17721,1.03204,-1.17897,0,0,0,
102,0,1.03311,-1.17727,1.03221,-1.17871,0,0,0,
103,0,1.03292,-1.17758,1.03233,-1.17851,0,0,0,
104,0,1.03293,-1.17786,1.03242,-1.17839,0,0,0,
105,0,1.03301,-1.17808,1.0325,-1.17833,0,0,0,
106,0,1.03297,-1.17859,1.03258,-1.17833,0,0,0,
107,0,1.03286,-1.1792,1.03263,-1.17841,0,0,0,
108,0,1.03271,-1.17992,1.03265,-1.17859,0,0,0,
109,0,1.03251,-1.18068,1.03265,-1.17885,0,0,0,
110,0,1.03248,-1.18144,1.03262,-1.17919,0,0,0,
111,0,1.03231,-1.18184,1.03259,-1.17956,0,0,0,
112,0,1.03236,-1.18266,1.03255,-1.17997,0,0,0,
113,0,1.0323,-1.18326,1.03252,-1.18043,0,0,0,
114,0,1.03248,-1.18387,1.0325,-1.1809,0,0,0,
115,0,1.03254,-1.18404,1.0325,-1.18137,0,0,0,
116,0,1.03255,-1.18423,1.0325,-1.18179,0,0,0,
117,0,1.03253,-1.18433,1.03251,-1.18217,0,0,0,
118,0,1.03254,-1.18448,1.03251,-1.18251,0,0,0,
119,0,1.03264,-1.18452,1.03252,-1.18282,0,0,0,
120,0,1.03267,-1.1846,1.03254,-1.18308,0,0,0,
121,0,1.03285,-1.18464,1.03258,-1.18332,0,0,0,
122,0,1.03311,-1.18482,1.03264,-1.18353,0,0,0,
123,0,1.03322,-1.18484,1.03272,-1.18373,0,0,0,
124,0,1.03367,-1.18496,1.03283,-1.18391,0,0,0,
125,0,1.03368,-1.18501,1.03296,-1.18407,0,0,0,
126,0,1.03376,-1.18504,1.03308,-1.18422,0,0,0,
127,0,1.03377,-1.18505,1.03318,-1.18434,0,0,0,
128,0,1.03383,-1.18507,1.03328,-1.18445,0,0,0,
129,0,1.03385,-1.18513,1.03336,-1.18455,0,0,0,
130,0,1.03391,-1.18521,1.03344,-1.18465,0,0,0,
131,0,1.03391,-1.18521,1.03351,-1.18473,0,0,0,
132,0,1.034,-1.18533,1.03358,-1.18481,0,0,0,
133,0,1.03396,-1.18543,1.03364,-1.1849,0,0,0,
134,0,1.03402,-1.1855,1.03369,-1.18499,0,0,0,
135,0,1.03407,-1.18561,1.03375,-1.18507,0,0,0,
136,0,1.0341,-1.18564,1.0338,-1.18516,0,0,0,
137,0,1.03405,-1.18574,1.03384,-1.18524,0,0,0,
138,0,1.03406,-1.18583,1.03387,-1.18532,0,0,0,
139,0,1.03413,-1.18596,1.03391,-1.18541,0,0,0,
140,0,1.03415,-1.18602,1.03394,-1.1855,0,0,0,
141,0,1.03417,-1.18627,1.03398,-1.1856,0,0,0,
142,0,1.0342,-1.18638,1.03401,-1.18571,0,0,0,
143,0,1.03441,-1.18649,1.03405,-1.18582,0,0,0,
144,0,1.03445,-1.1866,1.03411,-1.18593,0,0,0,
145,0,1.03448,-1.18669,1.03416,-1.18604,0,0,0,
146,0,1.0346,-1.18676,1.03422,-1.18614,0,0,0,
147,0,1.03489,-1.18681,1.0343,-1.18624,0,0,0,
148,0,1.03491,-1.18683,1.03439,-1.18633,0,0,0,
149,0,1.03492,-1.1869,1.03447,-1.18641,0,0,0,
150,0,1.03493,-1.18699,1.03454,-1.18649,0,0,0,
151,0,1.03497,-1.18705,1.0346,-1.18657,0,0,0,
152,0,1.03515,-1.18709,1.03467,-1.18665,0,0,0,
153,0,1.03548,-1.18725,1.03477,-1.18673,0,0,0,
154,0,1.03549,-1.18728,1.03488,-1.18681,0,0,0,
155,0,1.03563,-1.18729,1.03499,-1.18688,0,0,0,
156,0,1.03568,-1.18733,1.03509,-1.18695,0,0,0,
157,0,1.03572,-1.18733,1.03518,-1.187,0,0,0,
158,0,1.03571,-1.18733,1.03526,-1.18705,0,0,0,
159,0,1.03581,-1.18732,1.03534,-1.1871,0,0,0,
160,0,1.03593,-1.18724,1.03542,-1.18712,0,0,0,
161,0,1.03654,-1.18699,1.03554,-1.18712,0,0,0,
162,0,1.03665,-1.18699,1.0357,-1.1871,0,0,0,
163,0,1.03689,-1.18694,1.03587,-1.18708,0,0,0,
164,0,1.03713,-1.18702,1.03604,-1.18706,0,0,0,
165,0,1.03731,-1.18699,1.03622,-1.18706,0,0,0,
166,0,1.03741,-1.18705,1.03639,-1.18705,0,0,0,
167,0,1.03746,-1.18714,1.03655,-1.18706,0,0,0,
168,0,1.0377,-1.18716,1.03671,-1.18707,0,0,0,
169,0,1.03794,-1.18724,1.03688,-1.18709,0,0,0,
170,0,1.03811,-1.18743,1.03705,-1.18713,0,0,0,
171,0,1.03843,-1.18767,1.03724,-1.18719,0,0,0,
172,0,1.03906,-1.18773,1.03747,-1.18727,0,0,0,
173,0,1.03911,-1.18803,1.03771,-1.18736,0,0,0,
174,0,1.03923,-1.18842,1.03794,-1.18749,0,0,0,
175,0,1.03923,-1.18842,1.03813,-1.18763,0,0,0,
176,0,1.04004,-1.18888,1.03836,-1.18779,0,0,0,
177,0,1.04083,-1.18964,1.03868,-1.18801,0,0,0,
178,0,1.04082,-1.19006,1.03901,-1.18829,0,0,0,
179,0,1.04082,-1.19006,1.03928,-1.18856,0,0,0,
180,0,1.04098,-1.19081,1.03953,-1.18885,0,0,0,
181,0,1.041,-1.19105,1.03975,-1.18917,0,0,0,
182,0,1.04114,-1.19149,1.03995,-1.18949,0,0,0,
183,0,1.04164,-1.19164,1.04017,-1.1898,0,0,0,
184,0,1.04187,-1.19199,1.04041,-1.19011,0,0,0,
185,0,1.04205,-1.19252,1.04065,-1.19044,0,0,0,
