Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,1.17125,-1.12863,1.1888,-1.11836,0,0,0,
1,0,1.16996,-1.12985,1.18603,-1.12002,0,0,0,
2,0,1.16893,-1.13102,1.1835,-1.1216,0,0,0,
3,0,1.16732,-1.13238,1.18116,-1.12314,0,0,0,
4,0,1.16661,-1.13297,1.17899,-1.1246,0,0,0,
5,0,1.16579,-1.13372,1.17704,-1.12593,0,0,0,
6,0,1.16535,-1.13431,1.17529,-1.12716,0,0,0,
7,0,1.1647,-1.13518,1.17373,-1.12832,0,0,0,
8,0,1.16429,-1.13626,1.17232,-1.12945,0,0,0,
9,0,1.16425,-1.13701,1.17109,-1.13054,0,0,0,
10,0,1.16401,-1.13751,1.17003,-1.13157,0,0,0,
11,0,1.164,-1.13784,1.16911,-1.1325,0,0,0,
12,0,1.1639,-1.13812,1.16833,-1.13333,0,0,0,
13,0,1.16381,-1.1384,1.16764,-1.13408,0,0,0,
14,0,1.16379,-1.13848,1.16706,-1.13475,0,0,0,
15,0,1.16377,-1.13854,1.16656,-1.13532,0,0,0,
16,0,1.16386,-1.13864,1.16614,-1.13582,0,0,0,
17,0,1.16385,-1.13866,1.16579,-1.13625,0,0,0,
18,0,1.16399,-1.13878,1.16551,-1.13663,0,0,0,
19,0,1.16421,-1.1389,1.16529,-1.13696,0,0,0,
20,0,1.16465,-1.1392,1.16516,-1.13728,0,0,0,
21,0,1.1648,-1.13921,1.16509,-1.13758,0,0,0,
22,0,1.16505,-1.13923,1.16507,-1.13783,0,0,0,
23,0,1.16557,-1.13934,1.1651,-1.13805,0,0,0,
24,0,1.16591,-1.13955,1.1652,-1.13826,0,0,0,
25,0,1.1663,-1.13968,1.16534,-1.13847,0,0,0,
26,0,1.16727,-1.14,1.16556,-1.13868,0,0,0,
27,0,1.16801,-1.14045,1.16588,-1.13891,0,0,0,
28,0,1.16847,-1.14092,1.16624,-1.13918,0,0,0,
29,0,1.16879,-1.14118,1.1666,-1.13947,0,0,0,
30,0,1.16922,-1.14152,1.16697,-1.13975,0,0,0,
31,0,1.16973,-1.14179,1.16735,-1.14004,0,0,0,
32,0,1.17019,-1.14211,1.16775,-1.14033,0,0,0,
33,0,1.17086,-1.14237,1.16817,-1.14062,0,0,0,
34,0,1.17131,-1.1428,1.16862,-1.14092,0,0,0,
35,0,1.17179,-1.14311,1.16906,-1.14123,0,0,0,
36,0,1.1722,-1.14339,1.16951,-1.14154,0,0,0,
37,0,1.1722,-1.14339,1.16992,-1.14182,0,0,0,
38,0,1.1724,-1.14358,1.17028,-1.14208,0,0,0,
39,0,1.17268,-1.14373,1.17063,-1.14232,0,0,0,
40,0,1.17329,-1.14404,1.17099,-1.14255,0,0,0,
41,0,1.17337,-1.14414,1.17134,-1.14279,0,0,0,
42,0,1.17382,-1.14435,1.17169,-1.14301,0,0,0,
43,0,1.17416,-1.14449,1.17204,-1.14323,0,0,0,
44,0,1.1743,-1.14456,1.17237,-1.14342,0,0,0,
45,0,1.17444,-1.14465,1.17268,-1.1436,0,0,0,
46,0,1.17456,-1.1447,1.17295,-1.14377,0,0,0,
47,0,1.17491,-1.14481,1.17323,-1.14392,0,0,0,
48,0,1.17518,-1.1451,1.1735,-1.14408,0,0,0,
49,0,1.17541,-1.14512,1.17378,-1.14423,0,0,0,
50,0,1.17563,-1.14522,1.17404,-1.14438,0,0,0,
51,0,1.17584,-1.14532,1.1743,-1.14451,0,0,0,
52,0,1.17602,-1.14533,1.17455,-1.14464,0,0,0,
53,0,1.17629,-1.14538,1.17479,-1.14475,0,0,0,
54,0,1.17642,-1.14539,1.17503,-1.14484,0,0,0,
55,0,1.17643,-1.14543,1.17524,-1.14493,0,0,0,
56,0,1.17666,-1.14558,1.17544,-1.14502,0,0,0,
57,0,1.17676,-1.14565,1.17563,-1.14511,0,0,0,
58,0,1.17683,-1.14566,1.17581,-1.14519,0,0,0,
59,0,1.17697,-1.14556,1.17598,-1.14525,0,0,0,
60,0,1.17697,-1.14548,1.17613,-1.1453,0,0,0,
61,0,1.17721,-1.14483,1.17627,-1.14527,0,0,0,
62,0,1.17744,-1.14426,1.17643,-1.14516,0,0,0,
63,0,1.1775,-1.1442,1.17659,-1.14502,0,0,0,
64,0,1.17834,-1.14456,1.1768,-1.14492,0,0,0,
65,0,1.17932,-1.1453,1.17711,-1.14492,0,0,0,
66,0,1.18006,-1.14602,1.1775,-1.14504,0,0,0,
67,0,1.18129,-1.14665,1.17798,-1.14523,0,0,0,
68,0,1.18238,-1.14728,1.17857,-1.1455,0,0,0,
69,0,1.18325,-1.14802,1.17922,-1.14583,0,0,0,
70,0,1.18383,-1.14844,1.17988,-1.14619,0,0,0,
71,0,1.18472,-1.14925,1.18055,-1.1466,0,0,0,
72,0,1.18501,-1.15011,1.1812,-1.14707,0,0,0,
73,0,1.18528,-1.15048,1.18181,-1.14756,0,0,0,
74,0,1.18535,-1.15079,1.18234,-1.14803,0,0,0,
75,0,1.18537,-1.15083,1.1828,-1.14845,0,0,0,
76,0,1.18525,-1.15082,1.18318,-1.14881,0,0,0,
77,0,1.18526,-1.1508,1.1835,-1.14912,0,0,0,
78,0,1.18529,-1.15072,1.18377,-1.14937,0,0,0,
79,0,1.18527,-1.15054,1.184,-1.14956,0,0,0,
80,0,1.18501,-1.15072,1.18417,-1.14972,0,0,0,
81,0,1.18483,-1.15086,1.18429,-1.14989,0,0,0,
82,0,1.18472,-1.15129,1.18436,-1.15007,0,0,0,
83,0,1.18475,-1.15146,1.18442,-1.15027,0,0,0,
84,0,1.18477,-1.15139,1.18447,-1.15044,0,0,0,
85,0,1.18473,-1.1514,1.18451,-1.15059,0,0,0,
86,0,1.18467,-1.15145,1.18454,-1.15072,0,0,0,
87,0,1.18465,-1.15139,1.18456,-1.15082,0,0,0,
88,0,1.18451,-1.15126,1.18456,-1.1509,0,0,0,
89,0,1.18444,-1.15117,1.18455,-1.15095,0,0,0,
90,0,1.18433,-1.15112,1.18452,-1.15098,0,0,0,
91,0,1.18462,-1.15092,1.18452,-1.15098,0,0,0,
92,0,1.18473,-1.15096,1.18454,-1.15098,0,0,0,
93,0,1.1849,-1.15089,1.18458,-1.15097,0,0,0,
94,0,1.18515,-1.15094,1.18465,-1.15096,0,0,0,
95,0,1.18577,-1.15055,1.18477,-1.15093,0,0,0,
96,0,1.18673,-1.14981,1.185,-1.15082,0,0,0,
97,0,1.18728,-1.14957,1.1853,-1.15064,0,0,0,
98,0,1.18787,-1.14947,1.18565,-1.15047,0,0,0,
99,0,1.18859,-1.14961,1.18604,-1.15033,0,0,0,
100,0,1.18997,-1.15018,1.18654,-1.15026,0,0,0,
101,0,1.19046,-1.15021,1.1871,-1.15025,0,0,0,
102,0,1.19114,-1.15038,1.18766,-1.15026,0,0,0,
103,0,1.19229,-1.15062,1.18828,-1.1503,0,0,0,
104,0,1.19394,-1.15123,1.18902,-1.15039,0,0,0,
105,0,1.19434,-1.15149,1.1898,-1.15054,0,0,0,
106,0,1.19569,-1.15217,1.19059,-1.15074,0,0,0,
107,0,1.19585,-1.15226,1.19138,-1.15096,0,0,0,
108,0,1.19594,-1.15195,1.19207,-1.15114,0,0,0,
109,0,1.19182,-1.14418,1.19235,-1.15067,0,0,0,
