Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,0.744839,-1.18348,0.749648,-1.18911,0,0,0,
1,0,0.742835,-1.18178,0.748762,-1.18812,0,0,0,
2,0,0.741,-1.1809,0.747719,-1.18709,0,0,0,
3,0,0.739487,-1.17991,0.74658,-1.18607,0,0,0,
4,0,0.73856,-1.17943,0.745428,-1.1851,0,0,0,
5,0,0.73578,-1.17883,0.744169,-1.18419,0,0,0,
6,0,0.734339,-1.17838,0.74278,-1.18334,0,0,0,
7,0,0.731014,-1.17818,0.74124,-1.18256,0,0,0,
8,0,0.727162,-1.17819,0.739388,-1.1819,0,0,0,
9,0,0.718913,-1.17875,0.736896,-1.18137,0,0,0,
10,0,0.718025,-1.17916,0.734087,-1.181,0,0,0,
11,0,0.713193,-1.18018,0.731271,-1.1808,0,0,0,
12,0,0.711321,-1.18058,0.728372,-1.18074,0,0,0,
13,0,0.713502,-1.18155,0.72594,-1.18079,0,0,0,
14,0,0.714661,-1.18239,0.724132,-1.18097,0,0,0,
15,0,0.71553,-1.18346,0.722755,-1.18127,0,0,0,
16,0,0.715526,-1.18386,0.721653,-1.18163,0,0,0,
17,0,0.715425,-1.18396,0.720711,-1.18198,0,0,0,
18,0,0.712567,-1.18398,0.719688,-1.18228,0,0,0,
19,0,0.712756,-1.18403,0.718617,-1.18254,0,0,0,
20,0,0.713893,-1.18399,0.71781,-1.18277,0,0,0,
21,0,0.715075,-1.18414,0.717303,-1.18297,0,0,0,
22,0,0.718829,-1.18437,0.71725,-1.18316,0,0,0,
23,0,0.724556,-1.1855,0.717927,-1.18343,0,0,0,
24,0,0.728764,-1.18545,0.719258,-1.18375,0,0,0,
25,0,0.732006,-1.18579,0.720954,-1.18403,0,0,0,
26,0,0.734873,-1.18646,0.722857,-1.18435,0,0,0,
27,0,0.738236,-1.18678,0.724945,-1.1847,0,0,0,
28,0,0.740345,-1.18695,0.727132,-1.18503,0,0,0,
29,0,0.742313,-1.18749,0.729296,-1.18536,0,0,0,
30,0,0.743289,-1.18753,0.731354,-1.18569,0,0,0,
31,0,0.746408,-1.18778,0.733411,-1.18599,0,0,0,
32,0,0.748479,-1.18702,0.73555,-1.1862,0,0,0,
33,0,0.748479,-1.18702,0.73752,-1.18633,0,0,0,
34,0,0.751215,-1.18635,0.739399,-1.18638,0,0,0,
35,0,0.7526,-1.18599,0.741306,-1.18635,0,0,0,
36,0,0.75328,-1.18557,0.743079,-1.18626,0,0,0,
37,0,0.754323,-1.18505,0.744714,-1.18612,0,0,0,
38,0,0.75468,-1.18463,0.746205,-1.18592,0,0,0,
39,0,0.75452,-1.18458,0.747485,-1.18572,0,0,0,
40,0,0.754061,-1.18439,0.748522,-1.18553,0,0,0,
41,0,0.75396,-1.1843,0.749359,-1.18535,0,0,0,
42,0,0.75396,-1.1843,0.75006,-1.18519,0,0,0,
43,0,0.752182,-1.18329,0.750519,-1.18498,0,0,0,
44,0,0.751131,-1.18334,0.750693,-1.18473,0,0,0,
45,0,0.751131,-1.18334,0.750759,-1.18451,0,0,0,
46,0,0.749766,-1.18287,0.750712,-1.1843,0,0,0,
47,0,0.748112,-1.18166,0.750442,-1.18399,0,0,0,
48,0,0.748112,-1.18166,0.750087,-1.18363,0,0,0,
49,0,0.746921,-1.18121,0.749695,-1.1833,0,0,0,
50,0,0.74586,-1.18054,0.749191,-1.18293,0,0,0,
51,0,0.74529,-1.18022,0.74864,-1.18254,0,0,0,
52,0,0.744519,-1.17962,0.748071,-1.18214,0,0,0,
53,0,0.743786,-1.17906,0.747473,-1.18171,0,0,0,
54,0,0.74343,-1.1787,0.746884,-1.18128,0,0,0,
55,0,0.743141,-1.17832,0.746336,-1.18086,0,0,0,
56,0,0.742849,-1.17778,0.745826,-1.18043,0,0,0,
