Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,1.2156,-1.11386,1.25534,-1.09176,0,0,0,
1,0,1.21416,-1.1171,1.24918,-1.09538,0,0,0,
2,0,1.21231,-1.12146,1.2437,-1.09902,0,0,0,
3,0,1.21019,-1.12821,1.23875,-1.10295,0,0,0,
4,0,1.20814,-1.13854,1.23424,-1.10759,0,0,0,
5,0,1.20604,-1.14955,1.2301,-1.11315,0,0,0,
6,0,1.2057,-1.15724,1.22641,-1.11928,0,0,0,
7,0,1.20424,-1.16547,1.22314,-1.12569,0,0,0,
8,0,1.20333,-1.17355,1.22019,-1.13237,0,0,0,
9,0,1.20299,-1.18099,1.21759,-1.13922,0,0,0,
10,0,1.20183,-1.18668,1.21528,-1.14602,0,0,0,
11,0,1.20016,-1.19152,1.2131,-1.15258,0,0,0,
12,0,1.19791,-1.1951,1.21096,-1.15879,0,0,0,
13,0,1.19527,-1.19895,1.20877,-1.16462,0,0,0,
14,0,1.19373,-1.20293,1.20659,-1.17016,0,0,0,
15,0,1.18929,-1.20508,1.2043,-1.17532,0,0,0,
16,0,1.18504,-1.20678,1.20168,-1.17998,0,0,0,
17,0,1.17833,-1.20706,1.19864,-1.18409,0,0,0,
18,0,1.1672,-1.2054,1.19469,-1.18746,0,0,0,
19,0,1.15791,-1.20216,1.18979,-1.18995,0,0,0,
20,0,1.14689,-1.19823,1.18409,-1.19151,0,0,0,
21,0,1.13292,-1.18912,1.17736,-1.19184,0,0,0,
22,0,1.1195,-1.18349,1.16956,-1.191,0,0,0,
23,0,1.10203,-1.17432,1.1606,-1.18915,0,0,0,
24,0,1.09113,-1.16886,1.15084,-1.18648,0,0,0,
25,0,1.07502,-1.15935,1.14051,-1.18307,0,0,0,
26,0,1.07502,-1.15935,1.13053,-1.17945,0,0,0,
27,0,1.06592,-1.15509,1.12137,-1.17606,0,0,0,
28,0,1.05529,-1.14739,1.11211,-1.17228,0,0,0,
29,0,1.02365,-1.12664,1.10104,-1.1669,0,0,0,
30,0,1.0177,-1.12077,1.08879,-1.16032,0,0,0,
31,0,1.01332,-1.11761,1.07762,-1.15405,0,0,0,
32,0,1.00888,-1.11743,1.06748,-1.14848,0,0,0,
33,0,1.00017,-1.11363,1.05788,-1.14346,0,0,0,
34,0,0.996487,-1.11599,1.04881,-1.13909,0,0,0,
35,0,0.986043,-1.11133,1.04004,-1.13522,0,0,0,
36,0,0.984661,-1.11318,1.0317,-1.13172,0,0,0,
37,0,0.980656,-1.11623,1.02423,-1.12912,0,0,0,
38,0,0.974796,-1.11967,1.01714,-1.12742,0,0,0,
39,0,0.969158,-1.12255,1.01025,-1.12646,0,0,0,
40,0,0.961677,-1.12297,1.00342,-1.12589,0,0,0,
41,0,0.957208,-1.12466,0.996717,-1.12558,0,0,0,
42,0,0.95315,-1.1259,0.990385,-1.12553,0,0,0,
43,0,0.948964,-1.12678,0.984391,-1.12566,0,0,0,
44,0,0.94619,-1.1277,0.978779,-1.1259,0,0,0,
45,0,0.942557,-1.12868,0.973535,-1.12625,0,0,0,
46,0,0.939793,-1.13024,0.968603,-1.12674,0,0,0,
47,0,0.937093,-1.13189,0.964005,-1.1274,0,0,0,
48,0,0.9346,-1.1331,0.959713,-1.12817,0,0,0,
49,0,0.931777,-1.13446,0.95567,-1.12903,0,0,0,
50,0,0.930268,-1.13506,0.951913,-1.1299,0,0,0,
51,0,0.928686,-1.13553,0.948494,-1.13072,0,0,0,
52,0,0.927391,-1.13602,0.945376,-1.13149,0,0,0,
53,0,0.925436,-1.13626,0.942485,-1.1322,0,0,0,
54,0,0.923023,-1.13699,0.939703,-1.13287,0,0,0,
55,0,0.921426,-1.13721,0.937039,-1.13352,0,0,0,
56,0,0.920721,-1.13709,0.934605,-1.13407,0,0,0,
57,0,0.919863,-1.13707,0.932423,-1.13453,0,0,0,
58,0,0.91948,-1.13714,0.93048,-1.13492,0,0,0,
59,0,0.919013,-1.13727,0.928768,-1.13527,0,0,0,
60,0,0.918257,-1.13763,0.927223,-1.1356,0,0,0,
61,0,0.917616,-1.13783,0.925808,-1.13593,0,0,0,
62,0,0.917292,-1.13773,0.924534,-1.13621,0,0,0,
63,0,0.916932,-1.13782,0.923403,-1.13645,0,0,0,
64,0,0.916853,-1.13782,0.922411,-1.13666,0,0,0,
65,0,0.916813,-1.13782,0.92156,-1.13683,0,0,0,
66,0,0.916553,-1.13779,0.920817,-1.13698,0,0,0,
67,0,0.916341,-1.13794,0.920151,-1.13712,0,0,0,
68,0,0.916241,-1.1379,0.919562,-1.13724,0,0,0,
69,0,0.916019,-1.13799,0.919039,-1.13735,0,0,0,
70,0,0.915886,-1.13781,0.918569,-1.13743,0,0,0,
71,0,0.915819,-1.13776,0.918155,-1.13749,0,0,0,
72,0,0.915703,-1.13777,0.91779,-1.13753,0,0,0,
73,0,0.915559,-1.13783,0.917461,-1.13757,0,0,0,
74,0,0.915442,-1.1379,0.917162,-1.13761,0,0,0,
75,0,0.915441,-1.13789,0.9169,-1.13766,0,0,0,
76,0,0.915406,-1.1379,0.916675,-1.13769,0,0,0,
77,0,0.915367,-1.13794,0.916478,-1.13773,0,0,0,
78,0,0.91535,-1.13789,0.916308,-1.13776,0,0,0,
79,0,0.915362,-1.13792,0.916163,-1.13778,0,0,0,
80,0,0.915414,-1.13789,0.916045,-1.1378,0,0,0,
81,0,0.915384,-1.1379,0.915946,-1.13781,0,0,0,
82,0,0.915374,-1.13792,0.91586,-1.13783,0,0,0,
83,0,0.915374,-1.13795,0.915786,-1.13785,0,0,0,
84,0,0.915556,-1.13792,0.915737,-1.13786,0,0,0,
85,0,0.91559,-1.13801,0.915712,-1.13788,0,0,0,
86,0,0.915717,-1.13808,0.915703,-1.1379,0,0,0,
87,0,0.915797,-1.13808,0.915711,-1.13793,0,0,0,
88,0,0.916106,-1.13813,0.915748,-1.13796,0,0,0,
89,0,0.916375,-1.13826,0.915823,-1.13799,0,0,0,
90,0,0.916936,-1.13832,0.91595,-1.13804,0,0,0,
91,0,0.917586,-1.13841,0.91615,-1.13809,0,0,0,
92,0,0.918383,-1.1385,0.916429,-1.13814,0,0,0,
93,0,0.918932,-1.1385,0.916769,-1.1382,0,0,0,
94,0,0.919988,-1.1386,0.917179,-1.13825,0,0,0,
95,0,0.920577,-1.13891,0.917652,-1.13833,0,0,0,
96,0,0.921046,-1.13915,0.918134,-1.13843,0,0,0,
97,0,0.922016,-1.13911,0.918652,-1.13854,0,0,0,
98,0,0.922757,-1.13923,0.919221,-1.13864,0,0,0,
99,0,0.92353,-1.13941,0.919819,-1.13874,0,0,0,
100,0,0.924634,-1.13953,0.920469,-1.13885,0,0,0,
101,0,0.925673,-1.13962,0.921183,-1.13896,0,0,0,
102,0,0.926168,-1.13997,0.921905,-1.13909,0,0,0,
103,0,0.92695,-1.14024,0.922614,-1.13924,0,0,0,
104,0,0.927439,-1.14038,0.923312,-1.13941,0,0,0,
105,0,0.928059,-1.1406,0.923989,-1.13957,0,0,0,
106,0,0.928792,-1.14091,0.924665,-1.13975,0,0,0,
107,0,0.929068,-1.14109,0.925315,-1.13994,0,0,0,
108,0,0.929555,-1.14158,0.925924,-1.14016,0,0,0,
109,0,0.930168,-1.14199,0.926524,-1.1404,0,0,0,
110,0,0.930433,-1.14223,0.9271,-1.14066,0,0,0,
111,0,0.930916,-1.14267,0.927645,-1.14094,0,0,0,
112,0,0.931432,-1.14319,0.928183,-1.14124,0,0,0,
113,0,0.931695,-1.14352,0.928698,-1.14156,0,0,0,
114,0,0.932246,-1.14376,0.929197,-1.14188,0,0,0,
115,0,0.932558,-1.14392,0.929685,-1.14218,0,0,0,
116,0,0.932997,-1.14412,0.930157,-1.14246,0,0,0,
117,0,0.933253,-1.14439,0.930609,-1.14273,0,0,0,
118,0,0.933563,-1.14461,0.931036,-1.143,0,0,0,
119,0,0.933767,-1.14485,0.931437,-1.14326,0,0,0,
120,0,0.933967,-1.145,0.931807,-1.14352,0,0,0,
121,0,0.934238,-1.14513,0.932157,-1.14375,0,0,0,
122,0,0.934694,-1.14517,0.932509,-1.14397,0,0,0,
123,0,0.934985,-1.14529,0.932864,-1.14416,0,0,0,
124,0,0.9351,-1.14559,0.933196,-1.14436,0,0,0,
125,0,0.935193,-1.14568,0.933493,-1.14455,0,0,0,
126,0,0.935193,-1.14568,0.933753,-1.14472,0,0,0,
127,0,0.935565,-1.14558,0.934,-1.14486,0,0,0,
128,0,0.935549,-1.14568,0.934238,-1.14498,0,0,0,
129,0,0.935549,-1.14568,0.934438,-1.14509,0,0,0,
130,0,0.935847,-1.14574,0.93463,-1.14518,0,0,0,
131,0,0.935875,-1.14575,0.934817,-1.14527,0,0,0,
132,0,0.935903,-1.14577,0.934981,-1.14534,0,0,0,
133,0,0.935932,-1.14581,0.935123,-1.14541,0,0,0,
134,0,0.936084,-1.14586,0.935258,-1.14548,0,0,0,
135,0,0.936096,-1.14592,0.935385,-1.14554,0,0,0,
136,0,0.936095,-1.14593,0.935493,-1.1456,0,0,0,
137,0,0.936143,-1.14593,0.935589,-1.14565,0,0,0,
138,0,0.936146,-1.14596,0.935673,-1.14569,0,0,0,
139,0,0.936124,-1.14599,0.935744,-1.14574,0,0,0,
140,0,0.936126,-1.14602,0.935802,-1.14578,0,0,0,
141,0,0.936331,-1.14605,0.935867,-1.14582,0,0,0,
142,0,0.936295,-1.14603,0.935935,-1.14585,0,0,0,
143,0,0.936305,-1.14597,0.935991,-1.14587,0,0,0,
144,0,0.936294,-1.14597,0.936038,-1.14589,0,0,0,
145,0,0.93615,-1.14582,0.936066,-1.14589,0,0,0,
146,0,0.936137,-1.14569,0.936078,-1.14587,0,0,0,
147,0,0.936101,-1.14558,0.936084,-1.14583,0,0,0,
148,0,0.936093,-1.14559,0.936086,-1.1458,0,0,0,
149,0,0.936064,-1.14561,0.936085,-1.14577,0,0,0,
150,0,0.936053,-1.1456,0.936081,-1.14574,0,0,0,
151,0,0.935988,-1.14554,0.936072,-1.14572,0,0,0,
152,0,0.935979,-1.14555,0.936058,-1.14569,0,0,0,
153,0,0.93591,-1.14555,0.936041,-1.14567,0,0,0,
154,0,0.935689,-1.1456,0.936004,-1.14565,0,0,0,
155,0,0.935566,-1.14561,0.935947,-1.14565,0,0,0,
156,0,0.935479,-1.14563,0.935882,-1.14564,0,0,0,
157,0,0.935389,-1.14561,0.935814,-1.14564,0,0,0,
158,0,0.935191,-1.14545,0.935734,-1.14562,0,0,0,
159,0,0.935007,-1.14532,0.935637,-1.14559,0,0,0,
160,0,0.934744,-1.14513,0.935521,-1.14553,0,0,0,
161,0,0.934596,-1.14514,0.935391,-1.14547,0,0,0,
162,0,0.934484,-1.14507,0.935262,-1.14542,0,0,0,
163,0,0.934413,-1.14506,0.935138,-1.14536,0,0,0,
164,0,0.934302,-1.14507,0.935019,-1.14532,0,0,0,
165,0,0.934182,-1.14508,0.9349,-1.14528,0,0,0,
166,0,0.933904,-1.14514,0.93477,-1.14525,0,0,0,
167,0,0.933844,-1.14521,0.934633,-1.14524,0,0,0,
168,0,0.933787,-1.14523,0.934509,-1.14524,0,0,0,
169,0,0.933728,-1.14517,0.934394,-1.14523,0,0,0,
170,0,0.933509,-1.14516,0.934276,-1.14522,0,0,0,
171,0,0.933448,-1.14514,0.934154,-1.14521,0,0,0,
172,0,0.933427,-1.14512,0.934045,-1.1452,0,0,0,
173,0,0.933267,-1.14516,0.933939,-1.14519,0,0,0,
174,0,0.933111,-1.14523,0.933824,-1.14519,0,0,0,
175,0,0.933099,-1.14522,0.933715,-1.1452,0,0,0,
176,0,0.932991,-1.14521,0.933613,-1.1452,0,0,0,
177,0,0.933013,-1.14518,0.93352,-1.1452,0,0,0,
178,0,0.932985,-1.14517,0.93344,-1.1452,0,0,0,
179,0,0.932923,-1.14521,0.933366,-1.14519,0,0,0,
180,0,0.93284,-1.14514,0.933292,-1.14519,0,0,0,
181,0,0.932847,-1.14513,0.933224,-1.14518,0,0,0,
182,0,0.932822,-1.14513,0.933165,-1.14517,0,0,0,
183,0,0.932914,-1.14506,0.933119,-1.14516,0,0,0,
184,0,0.932917,-1.14506,0.933088,-1.14515,0,0,0,
185,0,0.932992,-1.14516,0.933068,-1.14514,0,0,0,
186,0,0.933119,-1.14491,0.933066,-1.14512,0,0,0,
187,0,0.933138,-1.14492,0.933076,-1.14509,0,0,0,
188,0,0.933167,-1.14492,0.933087,-1.14507,0,0,0,
189,0,0.933315,-1.14478,0.933111,-1.14503,0,0,0,
190,0,0.933604,-1.14511,0.933164,-1.14502,0,0,0,
191,0,0.933883,-1.14515,0.933252,-1.14504,0,0,0,
192,0,0.934198,-1.1452,0.933372,-1.14506,0,0,0,
193,0,0.934462,-1.14526,0.933518,-1.14508,0,0,0,
194,0,0.934559,-1.14547,0.93367,-1.14513,0,0,0,
195,0,0.934636,-1.14554,0.933811,-1.14518,0,0,0,
196,0,0.93479,-1.14565,0.933948,-1.14525,0,0,0,
197,0,0.93484,-1.14575,0.93408,-1.14532,0,0,0,
198,0,0.934895,-1.14597,0.9342,-1.1454,0,0,0,
199,0,0.934897,-1.14599,0.934307,-1.14549,0,0,0,
200,0,0.934878,-1.14603,0.934395,-1.14557,0,0,0,
201,0,0.934776,-1.14622,0.934461,-1.14565,0,0,0,
202,0,0.934606,-1.14644,0.934496,-1.14576,0,0,0,
203,0,0.934272,-1.14689,0.934487,-1.1459,0,0,0,
204,0,0.933798,-1.14729,0.934418,-1.14608,0,0,0,
205,0,0.933483,-1.14752,0.9343,-1.14628,0,0,0,
206,0,0.933061,-1.14785,0.934143,-1.14649,0,0,0,
207,0,0.932878,-1.1481,0.933964,-1.14672,0,0,0,
208,0,0.93264,-1.14827,0.93378,-1.14694,0,0,0,
209,0,0.932108,-1.14844,0.933566,-1.14716,0,0,0,
210,0,0.93179,-1.1488,0.93332,-1.14738,0,0,0,
