Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,1.11666,-1.23958,1.12507,-1.2303,0,0,0,
1,0,1.11172,-1.2418,1.12341,-1.23189,0,0,0,
2,0,1.10934,-1.24371,1.12145,-1.23354,0,0,0,
3,0,1.10581,-1.24476,1.11933,-1.23517,0,0,0,
4,0,1.09918,-1.24497,1.11677,-1.23665,0,0,0,
5,0,1.09389,-1.24419,1.11368,-1.23786,0,0,0,
6,0,1.08937,-1.24876,1.11032,-1.23917,0,0,0,
7,0,1.0903,-1.2527,1.1072,-1.24093,0,0,0,
8,0,1.08962,-1.25399,1.10457,-1.24283,0,0,0,
9,0,1.08935,-1.25489,1.10227,-1.2446,0,0,0,
10,0,1.08669,-1.257,1.1001,-1.24633,0,0,0,
11,0,1.08696,-1.25735,1.09808,-1.24798,0,0,0,
12,0,1.08819,-1.25927,1.09648,-1.24956,0,0,0,
13,0,1.08795,-1.25969,1.09519,-1.25107,0,0,0,
14,0,1.08869,-1.25941,1.09415,-1.25236,0,0,0,
15,0,1.08875,-1.25924,1.09332,-1.25342,0,0,0,
16,0,1.08878,-1.2591,1.09263,-1.2543,0,0,0,
17,0,1.08893,-1.25857,1.09205,-1.25499,0,0,0,
18,0,1.08767,-1.25806,1.09148,-1.2555,0,0,0,
19,0,1.08438,-1.2579,1.09065,-1.25588,0,0,0,
20,0,1.08007,-1.25885,1.08936,-1.25626,0,0,0,
21,0,1.07801,-1.25889,1.08779,-1.25666,0,0,0,
22,0,1.06811,-1.18853,1.08555,-1.25163,0,0,0,
23,0,1.07098,-1.21099,1.08311,-1.24373,0,0,0,
24,0,1.07102,-1.21246,1.08126,-1.23885,0,0,0,
25,0,1.07116,-1.21381,1.07971,-1.23493,0,0,0,
26,0,1.07073,-1.21608,1.07837,-1.23188,0,0,0,
27,0,1.07074,-1.21659,1.07721,-1.22951,0,0,0,
28,0,1.07001,-1.21864,1.07617,-1.2277,0,0,0,
29,0,1.06809,-1.19634,1.07508,-1.22462,0,0,0,
30,0,1.03914,-1.17474,1.07181,-1.21866,0,0,0,
31,0,1.02229,-1.18912,1.06555,-1.21306,0,0,0,
32,0,1.0122,-1.19583,1.05818,-1.20993,0,0,0,
33,0,1.01182,-1.19636,1.05114,-1.20782,0,0,0,
34,0,1.00933,-1.19147,1.04496,-1.2057,0,0,0,
35,0,1.005,-1.18597,1.0392,-1.20311,0,0,0,
36,0,1.00591,-1.18493,1.03406,-1.20042,0,0,0,
37,0,1.006,-1.18192,1.02977,-1.19783,0,0,0,
38,0,1.00858,-1.17943,1.02635,-1.19522,0,0,0,
39,0,1.00851,-1.17826,1.02363,-1.19272,0,0,0,
40,0,1.00853,-1.17787,1.02133,-1.19049,0,0,0,
41,0,1.00894,-1.1775,1.01941,-1.18853,0,0,0,
42,0,1.01087,-1.17693,1.01796,-1.18681,0,0,0,
43,0,1.01939,-1.17526,1.01753,-1.18518,0,0,0,
44,0,1.02473,-1.17418,1.01822,-1.18358,0,0,0,
45,0,1.04058,-1.17015,1.02042,-1.18184,0,0,0,
46,0,1.04902,-1.16932,1.02414,-1.18,0,0,0,
47,0,1.06562,-1.16173,1.02919,-1.17779,0,0,0,
48,0,1.06679,-1.16334,1.03484,-1.17547,0,0,0,
49,0,1.07073,-1.16262,1.04001,-1.17356,0,0,0,
50,0,1.07532,-1.16212,1.04504,-1.17186,0,0,0,
51,0,1.07821,-1.16611,1.04988,-1.17068,0,0,0,
52,0,1.08095,-1.1687,1.0544,-1.17018,0,0,0,
53,0,1.08195,-1.17196,1.05853,-1.1702,0,0,0,
54,0,1.08128,-1.17525,1.06205,-1.17072,0,0,0,
55,0,1.08171,-1.17686,1.06501,-1.17153,0,0,0,
56,0,1.08376,-1.17551,1.06771,-1.17224,0,0,0,
57,0,1.08602,-1.17484,1.07033,-1.17269,0,0,0,
58,0,1.08753,-1.17439,1.07284,-1.17298,0,0,0,
59,0,1.08955,-1.17585,1.07523,-1.17331,0,0,0,
60,0,1.08916,-1.17709,1.07738,-1.17379,0,0,0,
61,0,1.08872,-1.17749,1.07914,-1.17432,0,0,0,
62,0,1.08831,-1.17758,1.08057,-1.17481,0,0,0,
63,0,1.08732,-1.17855,1.08168,-1.17531,0,0,0,
64,0,1.08597,-1.17824,1.08243,-1.17578,0,0,0,
65,0,1.08557,-1.17758,1.08294,-1.1761,0,0,0,
66,0,1.08563,-1.17627,1.08335,-1.17623,0,0,0,
67,0,1.08527,-1.1755,1.08367,-1.17618,0,0,0,
68,0,1.0852,-1.17505,1.08391,-1.17604,0,0,0,
69,0,1.08513,-1.17428,1.0841,-1.17583,0,0,0,
70,0,1.08589,-1.17312,1.08431,-1.17551,0,0,0,
71,0,1.08612,-1.17239,1.08457,-1.17509,0,0,0,
72,0,1.08763,-1.17088,1.08492,-1.17456,0,0,0,
73,0,1.09068,-1.16775,1.08557,-1.17376,0,0,0,
74,0,1.09408,-1.16727,1.08661,-1.17281,0,0,0,
75,0,1.09773,-1.16745,1.08802,-1.17198,0,0,0,
76,0,1.10415,-1.16384,1.08999,-1.17101,0,0,0,
77,0,1.10728,-1.16312,1.09239,-1.16987,0,0,0,
78,0,1.1087,-1.16522,1.09477,-1.169,0,0,0,
79,0,1.10956,-1.16411,1.09696,-1.16834,0,0,0,
80,0,1.1097,-1.16345,1.09889,-1.16764,0,0,0,
81,0,1.10935,-1.16333,1.10051,-1.16699,0,0,0,
82,0,1.10584,-1.16807,1.10159,-1.1668,0,0,0,
83,0,1.10498,-1.16793,1.10217,-1.16698,0,0,0,
84,0,1.10336,-1.16948,1.10248,-1.16724,0,0,0,
85,0,1.10087,-1.17008,1.10242,-1.16763,0,0,0,
86,0,1.09748,-1.16996,1.10193,-1.16799,0,0,0,
87,0,1.09441,-1.17032,1.10101,-1.16832,0,0,0,
88,0,1.09277,-1.17096,1.09988,-1.16868,0,0,0,
89,0,1.09104,-1.17185,1.09867,-1.16909,0,0,0,
90,0,1.089,-1.17279,1.09735,-1.16958,0,0,0,
91,0,1.0876,-1.17334,1.09597,-1.17011,0,0,0,
92,0,1.08565,-1.17431,1.09455,-1.17068,0,0,0,
93,0,1.08565,-1.17431,1.09319,-1.17123,0,0,0,
94,0,1.08612,-1.17413,1.09208,-1.17169,0,0,0,
95,0,1.08612,-1.17413,1.09117,-1.17206,0,0,0,
96,0,1.0856,-1.17623,1.09036,-1.17254,0,0,0,
97,0,1.08566,-1.1776,1.08964,-1.1732,0,0,0,
98,0,1.08547,-1.17849,1.08902,-1.17394,0,0,0,
99,0,1.08525,-1.17886,1.08846,-1.17466,0,0,0,
100,0,1.08492,-1.17877,1.08795,-1.1753,0,0,0,
101,0,1.08492,-1.17877,1.08748,-1.17583,0,0,0,
102,0,1.08378,-1.17898,1.08701,-1.17629,0,0,0,
103,0,1.08285,-1.17849,1.08644,-1.17666,0,0,0,
104,0,1.08114,-1.17817,1.08577,-1.17692,0,0,0,
105,0,1.08011,-1.17718,1.08498,-1.17703,0,0,0,
106,0,1.0788,-1.17544,1.08414,-1.17692,0,0,0,
107,0,1.07733,-1.17448,1.08321,-1.17662,0,0,0,
108,0,1.07653,-1.17309,1.08226,-1.17619,0,0,0,
109,0,1.07571,-1.17256,1.08132,-1.17568,0,0,0,
110,0,1.07454,-1.17089,1.08038,-1.17508,0,0,0,
111,0,1.07353,-1.17004,1.07941,-1.17437,0,0,0,
112,0,1.0727,-1.16906,1.07845,-1.17364,0,0,0,
113,0,1.07172,-1.16845,1.0775,-1.17289,0,0,0,
114,0,1.07215,-1.15892,1.07665,-1.17149,0,0,0,
115,0,1.07165,-1.15923,1.07593,-1.1696,0,0,0,
116,0,1.07153,-1.15933,1.07527,-1.16803,0,0,0,
117,0,1.07082,-1.15979,1.07464,-1.16673,0,0,0,
118,0,1.07087,-1.15981,1.07406,-1.16568,0,0,0,
119,0,1.07084,-1.15979,1.07357,-1.16478,0,0,0,
120,0,1.07098,-1.15343,1.07317,-1.16354,0,0,0,
121,0,1.07081,-1.15431,1.07282,-1.16206,0,0,0,
122,0,1.07072,-1.15455,1.07251,-1.1609,0,0,0,
123,0,1.07038,-1.15537,1.07221,-1.15999,0,0,0,
124,0,1.07024,-1.15554,1.07192,-1.1593,0,0,0,
125,0,1.07019,-1.15554,1.07166,-1.15873,0,0,0,
126,0,1.07015,-1.15556,1.07143,-1.15824,0,0,0,
127,0,1.06984,-1.15548,1.07121,-1.15783,0,0,0,
128,0,1.06962,-1.15571,1.07099,-1.15749,0,0,0,
129,0,1.06939,-1.15584,1.07076,-1.15723,0,0,0,
130,0,1.06937,-1.15589,1.07055,-1.15702,0,0,0,
131,0,1.06915,-1.15599,1.07035,-1.15685,0,0,0,
132,0,1.06907,-1.15597,1.07016,-1.15672,0,0,0,
133,0,1.06884,-1.15609,1.06998,-1.15662,0,0,0,
134,0,1.06882,-1.15601,1.0698,-1.15653,0,0,0,
135,0,1.06872,-1.1561,1.06965,-1.15646,0,0,0,
136,0,1.06791,-1.15604,1.06944,-1.1564,0,0,0,
137,0,1.06782,-1.15596,1.0692,-1.15634,0,0,0,
138,0,1.06757,-1.15597,1.06897,-1.15628,0,0,0,
139,0,1.06749,-1.15585,1.06875,-1.15622,0,0,0,
140,0,1.06741,-1.15536,1.06855,-1.15613,0,0,0,
141,0,1.0673,-1.15493,1.06837,-1.15598,0,0,0,
142,0,1.06708,-1.15484,1.06819,-1.15581,0,0,0,
143,0,1.067,-1.15478,1.06802,-1.15566,0,0,0,
144,0,1.06676,-1.1545,1.06784,-1.1555,0,0,0,
145,0,1.0661,-1.15351,1.06763,-1.15528,0,0,0,
146,0,1.06527,-1.15278,1.06733,-1.15495,0,0,0,
147,0,1.06509,-1.1524,1.067,-1.15459,0,0,0,
148,0,1.06447,-1.15222,1.06666,-1.15424,0,0,0,
149,0,1.06367,-1.15212,1.06627,-1.15393,0,0,0,
150,0,1.06352,-1.15196,1.06586,-1.15364,0,0,0,
151,0,1.06285,-1.15176,1.06545,-1.15337,0,0,0,
152,0,1.06174,-1.15152,1.06497,-1.15311,0,0,0,
153,0,1.06097,-1.15123,1.06442,-1.15284,0,0,0,
154,0,1.05922,-1.15105,1.06376,-1.15258,0,0,0,
155,0,1.05743,-1.15094,1.06293,-1.15234,0,0,0,
156,0,1.05063,-1.1513,1.06158,-1.15215,0,0,0,
157,0,1.05036,-1.15116,1.05989,-1.15201,0,0,0,
158,0,1.04855,-1.15003,1.0583,-1.1518,0,0,0,
159,0,1.04817,-1.14997,1.05678,-1.15152,0,0,0,
160,0,1.04691,-1.14946,1.05537,-1.15125,0,0,0,
161,0,1.04631,-1.14963,1.05404,-1.15099,0,0,0,
162,0,1.04427,-1.14926,1.0527,-1.15075,0,0,0,
163,0,1.04361,-1.14953,1.05137,-1.15055,0,0,0,
164,0,1.04149,-1.14947,1.05002,-1.15039,0,0,0,
165,0,1.04087,-1.14942,1.04867,-1.15024,0,0,0,
166,0,1.03984,-1.14727,1.04741,-1.14995,0,0,0,
167,0,1.03866,-1.14581,1.04616,-1.14943,0,0,0,
168,0,1.03705,-1.14474,1.0449,-1.1488,0,0,0,
169,0,1.03589,-1.14441,1.04361,-1.14816,0,0,0,
170,0,1.03531,-1.14398,1.04239,-1.14755,0,0,0,
171,0,1.03482,-1.14337,1.04127,-1.14696,0,0,0,
172,0,1.03459,-1.14274,1.04027,-1.14637,0,0,0,
173,0,1.03429,-1.14252,1.03938,-1.1458,0,0,0,
174,0,1.03435,-1.14219,1.03861,-1.14527,0,0,0,
175,0,1.03426,-1.14191,1.03796,-1.14478,0,0,0,
176,0,1.03404,-1.1414,1.03738,-1.1443,0,0,0,
177,0,1.03393,-1.141,1.03686,-1.14383,0,0,0,
178,0,1.03383,-1.1409,1.03641,-1.14339,0,0,0,
179,0,1.03413,-1.1405,1.03604,-1.14298,0,0,0,
180,0,1.03397,-1.14183,1.03573,-1.14271,0,0,0,
181,0,1.03421,-1.14078,1.03548,-1.14249,0,0,0,
182,0,1.03451,-1.14042,1.03531,-1.1422,0,0,0,
183,0,1.03491,-1.14009,1.03522,-1.14191,0,0,0,
184,0,1.03537,-1.13921,1.03521,-1.14156,0,0,0,
185,0,1.03704,-1.13729,1.03536,-1.14106,0,0,0,
186,0,1.03794,-1.13582,1.03568,-1.14037,0,0,0,
187,0,1.03767,-1.13552,1.03601,-1.13966,0,0,0,
188,0,1.03778,-1.13541,1.03627,-1.13902,0,0,0,
189,0,1.03771,-1.13531,1.03649,-1.13846,0,0,0,
190,0,1.0381,-1.13519,1.03671,-1.13797,0,0,0,
191,0,1.03821,-1.1316,1.03693,-1.13727,0,0,0,
192,0,1.03847,-1.13024,1.03714,-1.1363,0,0,0,
193,0,1.03914,-1.1303,1.0374,-1.13539,0,0,0,
194,0,1.04043,-1.12835,1.03776,-1.13446,0,0,0,
195,0,1.04129,-1.12685,1.03823,-1.13342,0,0,0,
196,0,1.04142,-1.12596,1.03871,-1.13235,0,0,0,
197,0,1.04221,-1.12486,1.03918,-1.13129,0,0,0,
198,0,1.04221,-1.12486,1.03964,-1.13031,0,0,0,
199,0,1.04262,-1.12412,1.04007,-1.12942,0,0,0,
200,0,1.04305,-1.12677,1.04049,-1.12882,0,0,0,
201,0,1.04305,-1.12677,1.04088,-1.12851,0,0,0,
202,0,1.04387,-1.12631,1.04127,-1.12821,0,0,0,
203,0,1.04387,-1.12631,1.04167,-1.12792,0,0,0,
204,0,1.04494,-1.12781,1.04209,-1.12779,0,0,0,
205,0,1.04552,-1.12847,1.04257,-1.12784,0,0,0,
206,0,1.04671,-1.12685,1.04311,-1.12781,0,0,0,
207,0,1.04671,-1.12685,1.04366,-1.12767,0,0,0,
208,0,1.04761,-1.12839,1.04419,-1.12766,0,0,0,
209,0,1.0483,-1.12973,1.04476,-1.12787,0,0,0,
210,0,1.04862,-1.1313,1.04533,-1.12828,0,0,0,
211,0,1.05023,-1.13287,1.04595,-1.12886,0,0,0,
