Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,0.743886,-1.15146,0.744165,-1.15782,0,0,0,
1,0,0.744232,-1.15031,0.744149,-1.15676,0,0,0,
2,0,0.745001,-1.1491,0.74422,-1.15568,0,0,0,
3,0,0.745761,-1.14826,0.744397,-1.15462,0,0,0,
4,0,0.746949,-1.14737,0.744696,-1.15358,0,0,0,
5,0,0.748386,-1.14607,0.745149,-1.15253,0,0,0,
6,0,0.749704,-1.1448,0.745743,-1.15145,0,0,0,
7,0,0.75002,-1.14411,0.74637,-1.15039,0,0,0,
8,0,0.750829,-1.14325,0.746988,-1.14936,0,0,0,
9,0,0.750843,-1.14312,0.747575,-1.14842,0,0,0,
10,0,0.751712,-1.14212,0.748139,-1.14754,0,0,0,
11,0,0.752535,-1.14156,0.748747,-1.14667,0,0,0,
12,0,0.753368,-1.14101,0.749388,-1.14585,0,0,0,
13,0,0.75388,-1.1408,0.750033,-1.1451,0,0,0,
14,0,0.754244,-1.14021,0.750647,-1.1444,0,0,0,
15,0,0.754856,-1.14008,0.751242,-1.14375,0,0,0,
16,0,0.754916,-1.14006,0.751798,-1.14319,0,0,0,
17,0,0.755513,-1.14011,0.752318,-1.14271,0,0,0,
18,0,0.756924,-1.14003,0.752913,-1.14231,0,0,0,
19,0,0.757481,-1.14016,0.753567,-1.14197,0,0,0,
20,0,0.757617,-1.14101,0.754174,-1.14176,0,0,0,
21,0,0.757953,-1.14149,0.754724,-1.14168,0,0,0,
22,0,0.758239,-1.14237,0.755238,-1.14172,0,0,0,
23,0,0.758536,-1.14293,0.755718,-1.14186,0,0,0,
24,0,0.759082,-1.1435,0.756189,-1.14207,0,0,0,
25,0,0.760186,-1.14466,0.756715,-1.14238,0,0,0,
26,0,0.760708,-1.14545,0.757283,-1.14278,0,0,0,
27,0,0.761118,-1.14721,0.757837,-1.14332,0,0,0,
28,0,0.761658,-1.1485,0.758378,-1.14401,0,0,0,
29,0,0.761719,-1.14905,0.758883,-1.14474,0,0,0,
30,0,0.76236,-1.14948,0.759364,-1.14543,0,0,0,
31,0,0.762419,-1.14974,0.759825,-1.14607,0,0,0,
32,0,0.762823,-1.14985,0.760251,-1.14663,0,0,0,
33,0,0.762444,-1.15027,0.760614,-1.14716,0,0,0,
34,0,0.76282,-1.1504,0.760922,-1.14764,0,0,0,
35,0,0.762877,-1.15036,0.761215,-1.14806,0,0,0,
36,0,0.7635,-1.14972,0.761516,-1.14836,0,0,0,
37,0,0.763593,-1.14968,0.761826,-1.14856,0,0,0,
38,0,0.76352,-1.1495,0.76209,-1.14872,0,0,0,
39,0,0.763659,-1.14953,0.762318,-1.14884,0,0,0,
40,0,0.763898,-1.14939,0.762541,-1.14894,0,0,0,
41,0,0.764211,-1.1491,0.762771,-1.14898,0,0,0,
42,0,0.7639,-1.14889,0.762967,-1.14899,0,0,0,
43,0,0.763993,-1.14856,0.763116,-1.14895,0,0,0,
44,0,0.763978,-1.14822,0.763249,-1.14886,0,0,0,
45,0,0.764076,-1.14784,0.763368,-1.14873,0,0,0,
46,0,0.763893,-1.14755,0.763462,-1.14858,0,0,0,
47,0,0.763955,-1.14714,0.763532,-1.14839,0,0,0,
48,0,0.763688,-1.14685,0.763576,-1.14817,0,0,0,
49,0,0.76355,-1.14673,0.763583,-1.14796,0,0,0,
50,0,0.763595,-1.14641,0.763581,-1.14775,0,0,0,
51,0,0.763486,-1.14617,0.763575,-1.14753,0,0,0,
52,0,0.763526,-1.14611,0.763564,-1.14732,0,0,0,
53,0,0.763379,-1.14589,0.763547,-1.14712,0,0,0,
54,0,0.763311,-1.14574,0.763517,-1.14692,0,0,0,
55,0,0.76312,-1.14574,0.763471,-1.14674,0,0,0,
56,0,0.762933,-1.14563,0.763403,-1.14658,0,0,0,
57,0,0.762061,-1.14545,0.763265,-1.14642,0,0,0,
58,0,0.761789,-1.14534,0.763061,-1.14626,0,0,0,
59,0,0.761194,-1.14524,0.762821,-1.14611,0,0,0,
60,0,0.761222,-1.14525,0.762575,-1.14598,0,0,0,
61,0,0.760977,-1.14527,0.76235,-1.14587,0,0,0,
62,0,0.760753,-1.14541,0.762124,-1.14579,0,0,0,
63,0,0.760713,-1.14538,0.761912,-1.14573,0,0,0,
64,0,0.760737,-1.14538,0.761731,-1.14568,0,0,0,
65,0,0.760728,-1.14537,0.761579,-1.14563,0,0,0,
66,0,0.7606,-1.14532,0.761439,-1.14559,0,0,0,
