Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,1.19792,-1.16584,1.20321,-1.16114,0,0,0,
1,0,1.19614,-1.16596,1.20227,-1.16187,0,0,0,
2,0,1.19332,-1.16467,1.20112,-1.16239,0,0,0,
3,0,1.18876,-1.1619,1.19958,-1.16253,0,0,0,
4,0,1.18469,-1.1582,1.19762,-1.16215,0,0,0,
5,0,1.1808,-1.15309,1.19536,-1.16116,0,0,0,
6,0,1.1762,-1.14799,1.19279,-1.15954,0,0,0,
7,0,1.17347,-1.14406,1.19005,-1.15748,0,0,0,
8,0,1.16989,-1.1398,1.18725,-1.15511,0,0,0,
9,0,1.16647,-1.13616,1.18434,-1.1525,0,0,0,
10,0,1.16416,-1.13292,1.18144,-1.14976,0,0,0,
11,0,1.16181,-1.13029,1.17863,-1.14699,0,0,0,
12,0,1.15914,-1.12681,1.17586,-1.14418,0,0,0,
13,0,1.15637,-1.12416,1.1731,-1.14133,0,0,0,
14,0,1.15492,-1.12288,1.17044,-1.13862,0,0,0,
15,0,1.1524,-1.12148,1.16788,-1.13611,0,0,0,
16,0,1.15062,-1.12066,1.16539,-1.13382,0,0,0,
17,0,1.14847,-1.11971,1.16297,-1.13174,0,0,0,
18,0,1.14642,-1.11903,1.16061,-1.12986,0,0,0,
19,0,1.14508,-1.11841,1.15834,-1.12816,0,0,0,
20,0,1.14371,-1.11805,1.15622,-1.12664,0,0,0,
21,0,1.14216,-1.11771,1.15419,-1.12531,0,0,0,
22,0,1.14053,-1.11749,1.15223,-1.12413,0,0,0,
23,0,1.1395,-1.11737,1.15037,-1.12311,0,0,0,
24,0,1.13793,-1.11741,1.14859,-1.12224,0,0,0,
25,0,1.13655,-1.11749,1.14686,-1.12151,0,0,0,
26,0,1.13585,-1.11751,1.14524,-1.1209,0,0,0,
27,0,1.1351,-1.11763,1.14375,-1.12039,0,0,0,
28,0,1.13465,-1.11783,1.1424,-1.11999,0,0,0,
29,0,1.13429,-1.118,1.14119,-1.11967,0,0,0,
30,0,1.13403,-1.11831,1.14012,-1.11944,0,0,0,
31,0,1.13388,-1.11843,1.13918,-1.11928,0,0,0,
32,0,1.1338,-1.11856,1.13837,-1.11916,0,0,0,
33,0,1.13366,-1.11871,1.13766,-1.11908,0,0,0,
34,0,1.13364,-1.11881,1.13705,-1.11903,0,0,0,
35,0,1.13366,-1.11886,1.13653,-1.119,0,0,0,
36,0,1.13365,-1.11887,1.13609,-1.11898,0,0,0,
37,0,1.13371,-1.11892,1.13572,-1.11897,0,0,0,
38,0,1.13383,-1.11883,1.13543,-1.11895,0,0,0,
39,0,1.13415,-1.11881,1.13521,-1.11893,0,0,0,
40,0,1.13443,-1.11875,1.13507,-1.11891,0,0,0,
41,0,1.13466,-1.11865,1.13499,-1.11888,0,0,0,
42,0,1.13513,-1.11858,1.13497,-1.11884,0,0,0,
43,0,1.13539,-1.11854,1.13502,-1.11879,0,0,0,
44,0,1.13576,-1.11855,1.1351,-1.11876,0,0,0,
45,0,1.13607,-1.11858,1.13523,-1.11873,0,0,0,
46,0,1.13635,-1.11861,1.13538,-1.11871,0,0,0,
47,0,1.13658,-1.11862,1.13554,-1.11869,0,0,0,
48,0,1.13711,-1.11877,1.13574,-1.11869,0,0,0,
49,0,1.13728,-1.1189,1.13596,-1.11871,0,0,0,
50,0,1.13744,-1.11907,1.13617,-1.11876,0,0,0,
51,0,1.13751,-1.11918,1.13637,-1.11881,0,0,0,
52,0,1.13788,-1.1194,1.13657,-1.11889,0,0,0,
53,0,1.13816,-1.11988,1.13679,-1.119,0,0,0,
54,0,1.13837,-1.12019,1.13702,-1.11916,0,0,0,
55,0,1.13857,-1.12051,1.13724,-1.11934,0,0,0,
56,0,1.13874,-1.12082,1.13745,-1.11954,0,0,0,
57,0,1.13882,-1.12109,1.13766,-1.11976,0,0,0,
58,0,1.13898,-1.1214,1.13785,-1.11998,0,0,0,
59,0,1.13921,-1.12173,1.13804,-1.12022,0,0,0,
60,0,1.13925,-1.12193,1.13822,-1.12047,0,0,0,
61,0,1.13932,-1.12202,1.13838,-1.1207,0,0,0,
62,0,1.13947,-1.12221,1.13854,-1.12091,0,0,0,
63,0,1.1396,-1.12236,1.13869,-1.12112,0,0,0,
64,0,1.13965,-1.12243,1.13883,-1.12132,0,0,0,
65,0,1.13988,-1.12258,1.13897,-1.1215,0,0,0,
66,0,1.14007,-1.12268,1.13913,-1.12167,0,0,0,
67,0,1.14023,-1.12281,1.13928,-1.12183,0,0,0,
68,0,1.14035,-1.12283,1.13944,-1.12198,0,0,0,
69,0,1.14053,-1.12287,1.13959,-1.12212,0,0,0,
70,0,1.14062,-1.12284,1.13974,-1.12223,0,0,0,
71,0,1.14069,-1.12284,1.13988,-1.12232,0,0,0,
72,0,1.1407,-1.12285,1.14,-1.1224,0,0,0,
73,0,1.14072,-1.12283,1.14011,-1.12247,0,0,0,
74,0,1.1408,-1.12281,1.14021,-1.12252,0,0,0,
75,0,1.14097,-1.12287,1.14031,-1.12257,0,0,0,
76,0,1.14102,-1.12287,1.14042,-1.12262,0,0,0,
77,0,1.14118,-1.12297,1.14052,-1.12266,0,0,0,
78,0,1.14118,-1.12297,1.14062,-1.12271,0,0,0,
79,0,1.14119,-1.12297,1.14071,-1.12275,0,0,0,
80,0,1.14119,-1.123,1.14078,-1.12279,0,0,0,
81,0,1.1414,-1.12306,1.14086,-1.12282,0,0,0,
82,0,1.14143,-1.12308,1.14094,-1.12286,0,0,0,
83,0,1.14148,-1.12316,1.14102,-1.1229,0,0,0,
84,0,1.14152,-1.12324,1.14109,-1.12295,0,0,0,
85,0,1.14156,-1.12332,1.14116,-1.123,0,0,0,
86,0,1.1416,-1.12337,1.14123,-1.12305,0,0,0,
87,0,1.1416,-1.12342,1.14128,-1.1231,0,0,0,
88,0,1.14168,-1.12346,1.14134,-1.12315,0,0,0,
89,0,1.14168,-1.12346,1.14139,-1.1232,0,0,0,
90,0,1.14181,-1.12366,1.14144,-1.12326,0,0,0,
91,0,1.14189,-1.12374,1.14151,-1.12332,0,0,0,
92,0,1.14192,-1.12382,1.14157,-1.12339,0,0,0,
93,0,1.14202,-1.12402,1.14163,-1.12347,0,0,0,
94,0,1.14204,-1.12413,1.14169,-1.12357,0,0,0,
95,0,1.14212,-1.12427,1.14175,-1.12366,0,0,0,
96,0,1.1422,-1.12453,1.14181,-1.12377,0,0,0,
97,0,1.14232,-1.12462,1.14188,-1.1239,0,0,0,
98,0,1.14246,-1.1248,1.14196,-1.12402,0,0,0,
99,0,1.14253,-1.12487,1.14204,-1.12415,0,0,0,
100,0,1.14267,-1.12509,1.14212,-1.12427,0,0,0,
101,0,1.14282,-1.12541,1.14222,-1.12442,0,0,0,
102,0,1.14297,-1.12553,1.14232,-1.12458,0,0,0,
103,0,1.143,-1.1257,1.14242,-1.12474,0,0,0,
104,0,1.14303,-1.1261,1.14251,-1.12492,0,0,0,
105,0,1.14312,-1.12627,1.1426,-1.12511,0,0,0,
106,0,1.14314,-1.12646,1.14268,-1.1253,0,0,0,
107,0,1.14315,-1.12649,1.14275,-1.12548,0,0,0,
108,0,1.14323,-1.12669,1.14282,-1.12565,0,0,0,
109,0,1.14324,-1.12692,1.14288,-1.12583,0,0,0,
110,0,1.14332,-1.12708,1.14294,-1.126,0,0,0,
111,0,1.14346,-1.12728,1.14301,-1.12618,0,0,0,
112,0,1.14358,-1.12743,1.14309,-1.12636,0,0,0,
113,0,1.14369,-1.12755,1.14317,-1.12654,0,0,0,
114,0,1.14377,-1.12762,1.14326,-1.1267,0,0,0,
115,0,1.14387,-1.12776,1.14334,-1.12685,0,0,0,
116,0,1.14395,-1.12788,1.14343,-1.12699,0,0,0,
117,0,1.14398,-1.12797,1.14351,-1.12714,0,0,0,
